ticket_id,slug,step,role,depends_on,status,assignee,output,notes
ED-pastors-college,pastors-college,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-pastors-college,pastors-college,H,Human,"ED,P",TODO,,status ACCEPTED,
S-southern-baptist-seminary,southern-baptist-seminary,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-southern-baptist-seminary,southern-baptist-seminary,F,Fetcher,S,TODO,,"raw/,text/",
E-southern-baptist-seminary,southern-baptist-seminary,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-southern-baptist-seminary,southern-baptist-seminary,V1,Verifier,E,TODO,,verification.md,
B-southern-baptist-seminary,southern-baptist-seminary,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-southern-baptist-seminary,southern-baptist-seminary,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-southern-baptist-seminary,southern-baptist-seminary,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-southern-baptist-seminary,southern-baptist-seminary,V2,Verifier,D,TODO,,verification.md,
ED-southern-baptist-seminary,southern-baptist-seminary,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-southern-baptist-seminary,southern-baptist-seminary,H,Human,"ED,P",TODO,,status ACCEPTED,
S-china-inland-mission,china-inland-mission,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-china-inland-mission,china-inland-mission,F,Fetcher,S,TODO,,"raw/,text/",
E-china-inland-mission,china-inland-mission,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-china-inland-mission,china-inland-mission,V1,Verifier,E,TODO,,verification.md,
B-china-inland-mission,china-inland-mission,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-china-inland-mission,china-inland-mission,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-china-inland-mission,china-inland-mission,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-china-inland-mission,china-inland-mission,V2,Verifier,D,TODO,,verification.md,
ED-china-inland-mission,china-inland-mission,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-china-inland-mission,china-inland-mission,H,Human,"ED,P",TODO,,status ACCEPTED,
S-east-london-institute,east-london-institute,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-east-london-institute,east-london-institute,F,Fetcher,S,TODO,,"raw/,text/",
E-east-london-institute,east-london-institute,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-east-london-institute,east-london-institute,V1,Verifier,E,TODO,,verification.md,
B-east-london-institute,east-london-institute,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-east-london-institute,east-london-institute,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-east-london-institute,east-london-institute,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-east-london-institute,east-london-institute,V2,Verifier,D,TODO,,verification.md,
ED-east-london-institute,east-london-institute,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-east-london-institute,east-london-institute,H,Human,"ED,P",TODO,,status ACCEPTED,
S-nyack-mti,nyack-mti,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-nyack-mti,nyack-mti,F,Fetcher,S,TODO,,"raw/,text/",
E-nyack-mti,nyack-mti,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-nyack-mti,nyack-mti,V1,Verifier,E,TODO,,verification.md,
B-nyack-mti,nyack-mti,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-nyack-mti,nyack-mti,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-nyack-mti,nyack-mti,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-nyack-mti,nyack-mti,V2,Verifier,D,TODO,,verification.md,
ED-nyack-mti,nyack-mti,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-nyack-mti,nyack-mti,H,Human,"ED,P",TODO,,status ACCEPTED,
S-moody-bible-institute,moody-bible-institute,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-moody-bible-institute,moody-bible-institute,F,Fetcher,S,TODO,,"raw/,text/",
E-moody-bible-institute,moody-bible-institute,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-moody-bible-institute,moody-bible-institute,V1,Verifier,E,TODO,,verification.md,
B-moody-bible-institute,moody-bible-institute,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-moody-bible-institute,moody-bible-institute,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-moody-bible-institute,moody-bible-institute,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-moody-bible-institute,moody-bible-institute,V2,Verifier,D,TODO,,verification.md,
ED-moody-bible-institute,moody-bible-institute,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-moody-bible-institute,moody-bible-institute,H,Human,"ED,P",TODO,,status ACCEPTED,
S-student-volunteer-movement,student-volunteer-movement,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-student-volunteer-movement,student-volunteer-movement,F,Fetcher,S,TODO,,"raw/,text/",
E-student-volunteer-movement,student-volunteer-movement,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-student-volunteer-movement,student-volunteer-movement,V1,Verifier,E,TODO,,verification.md,
B-student-volunteer-movement,student-volunteer-movement,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-student-volunteer-movement,student-volunteer-movement,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-student-volunteer-movement,student-volunteer-movement,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-student-volunteer-movement,student-volunteer-movement,V2,Verifier,D,TODO,,verification.md,
ED-student-volunteer-movement,student-volunteer-movement,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-student-volunteer-movement,student-volunteer-movement,H,Human,"ED,P",TODO,,status ACCEPTED,
S-aim-sim,aim-sim,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-aim-sim,aim-sim,F,Fetcher,S,TODO,,"raw/,text/",
E-aim-sim,aim-sim,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-aim-sim,aim-sim,V1,Verifier,E,TODO,,verification.md,
B-aim-sim,aim-sim,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-aim-sim,aim-sim,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-aim-sim,aim-sim,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-aim-sim,aim-sim,V2,Verifier,D,TODO,,verification.md,
ED-aim-sim,aim-sim,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-aim-sim,aim-sim,H,Human,"ED,P",TODO,,status ACCEPTED,
S-biola,biola,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-biola,biola,F,Fetcher,S,TODO,,"raw/,text/",
E-biola,biola,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-biola,biola,V1,Verifier,E,TODO,,verification.md,
B-biola,biola,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-biola,biola,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-biola,biola,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-biola,biola,V2,Verifier,D,TODO,,verification.md,
ED-biola,biola,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-biola,biola,H,Human,"ED,P",TODO,,status ACCEPTED,
S-glasgow-bti,glasgow-bti,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-glasgow-bti,glasgow-bti,F,Fetcher,S,TODO,,"raw/,text/",
E-glasgow-bti,glasgow-bti,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-glasgow-bti,glasgow-bti,V1,Verifier,E,TODO,,verification.md,
B-glasgow-bti,glasgow-bti,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-glasgow-bti,glasgow-bti,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-glasgow-bti,glasgow-bti,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-glasgow-bti,glasgow-bti,V2,Verifier,D,TODO,,verification.md,
ED-glasgow-bti,glasgow-bti,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-glasgow-bti,glasgow-bti,H,Human,"ED,P",TODO,,status ACCEPTED,
S-prairie-bible-institute,prairie-bible-institute,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-prairie-bible-institute,prairie-bible-institute,F,Fetcher,S,TODO,,"raw/,text/",
E-prairie-bible-institute,prairie-bible-institute,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-prairie-bible-institute,prairie-bible-institute,V1,Verifier,E,TODO,,verification.md,
B-prairie-bible-institute,prairie-bible-institute,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-prairie-bible-institute,prairie-bible-institute,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-prairie-bible-institute,prairie-bible-institute,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-prairie-bible-institute,prairie-bible-institute,V2,Verifier,D,TODO,,verification.md,
ED-prairie-bible-institute,prairie-bible-institute,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-prairie-bible-institute,prairie-bible-institute,H,Human,"ED,P",TODO,,status ACCEPTED,
S-columbia-bible-college,columbia-bible-college,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-columbia-bible-college,columbia-bible-college,F,Fetcher,S,TODO,,"raw/,text/",
E-columbia-bible-college,columbia-bible-college,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-columbia-bible-college,columbia-bible-college,V1,Verifier,E,TODO,,verification.md,
B-columbia-bible-college,columbia-bible-college,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-columbia-bible-college,columbia-bible-college,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-columbia-bible-college,columbia-bible-college,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-columbia-bible-college,columbia-bible-college,V2,Verifier,D,TODO,,verification.md,
ED-columbia-bible-college,columbia-bible-college,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-columbia-bible-college,columbia-bible-college,H,Human,"ED,P",TODO,,status ACCEPTED,
S-westminster-seminary,westminster-seminary,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-westminster-seminary,westminster-seminary,F,Fetcher,S,TODO,,"raw/,text/",
E-westminster-seminary,westminster-seminary,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-westminster-seminary,westminster-seminary,V1,Verifier,E,TODO,,verification.md,
B-westminster-seminary,westminster-seminary,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-westminster-seminary,westminster-seminary,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-westminster-seminary,westminster-seminary,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-westminster-seminary,westminster-seminary,V2,Verifier,D,TODO,,verification.md,
ED-westminster-seminary,westminster-seminary,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-westminster-seminary,westminster-seminary,H,Human,"ED,P",TODO,,status ACCEPTED,
S-wycliffe-sil,wycliffe-sil,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-wycliffe-sil,wycliffe-sil,F,Fetcher,S,TODO,,"raw/,text/",
E-wycliffe-sil,wycliffe-sil,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-wycliffe-sil,wycliffe-sil,V1,Verifier,E,TODO,,verification.md,
B-wycliffe-sil,wycliffe-sil,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-wycliffe-sil,wycliffe-sil,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-wycliffe-sil,wycliffe-sil,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-wycliffe-sil,wycliffe-sil,V2,Verifier,D,TODO,,verification.md,
ED-wycliffe-sil,wycliffe-sil,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-wycliffe-sil,wycliffe-sil,H,Human,"ED,P",TODO,,status ACCEPTED,
S-wheaton-college,wheaton-college,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-wheaton-college,wheaton-college,F,Fetcher,S,TODO,,"raw/,text/",
E-wheaton-college,wheaton-college,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-wheaton-college,wheaton-college,V1,Verifier,E,TODO,,verification.md,
B-wheaton-college,wheaton-college,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-wheaton-college,wheaton-college,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-wheaton-college,wheaton-college,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-wheaton-college,wheaton-college,V2,Verifier,D,TODO,,verification.md,
ED-wheaton-college,wheaton-college,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-wheaton-college,wheaton-college,H,Human,"ED,P",TODO,,status ACCEPTED,
S-cmml-brethren,cmml-brethren,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-cmml-brethren,cmml-brethren,F,Fetcher,S,TODO,,"raw/,text/",
E-cmml-brethren,cmml-brethren,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-cmml-brethren,cmml-brethren,V1,Verifier,E,TODO,,verification.md,
B-cmml-brethren,cmml-brethren,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-cmml-brethren,cmml-brethren,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-cmml-brethren,cmml-brethren,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-cmml-brethren,cmml-brethren,V2,Verifier,D,TODO,,verification.md,
ED-cmml-brethren,cmml-brethren,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-cmml-brethren,cmml-brethren,H,Human,"ED,P",TODO,,status ACCEPTED,
S-inter-varsity-urbana,inter-varsity-urbana,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-inter-varsity-urbana,inter-varsity-urbana,F,Fetcher,S,TODO,,"raw/,text/",
E-inter-varsity-urbana,inter-varsity-urbana,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-inter-varsity-urbana,inter-varsity-urbana,V1,Verifier,E,TODO,,verification.md,
B-inter-varsity-urbana,inter-varsity-urbana,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-inter-varsity-urbana,inter-varsity-urbana,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-inter-varsity-urbana,inter-varsity-urbana,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-inter-varsity-urbana,inter-varsity-urbana,V2,Verifier,D,TODO,,verification.md,
ED-inter-varsity-urbana,inter-varsity-urbana,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-inter-varsity-urbana,inter-varsity-urbana,H,Human,"ED,P",TODO,,status ACCEPTED,
S-new-tribes-mission,new-tribes-mission,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-new-tribes-mission,new-tribes-mission,F,Fetcher,S,TODO,,"raw/,text/",
E-new-tribes-mission,new-tribes-mission,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-new-tribes-mission,new-tribes-mission,V1,Verifier,E,TODO,,verification.md,
B-new-tribes-mission,new-tribes-mission,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-new-tribes-mission,new-tribes-mission,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-new-tribes-mission,new-tribes-mission,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-new-tribes-mission,new-tribes-mission,V2,Verifier,D,TODO,,verification.md,
ED-new-tribes-mission,new-tribes-mission,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-new-tribes-mission,new-tribes-mission,H,Human,"ED,P",TODO,,status ACCEPTED,
S-maf,maf,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-maf,maf,F,Fetcher,S,TODO,,"raw/,text/",
E-maf,maf,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-maf,maf,V1,Verifier,E,TODO,,verification.md,
B-maf,maf,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-maf,maf,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-maf,maf,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-maf,maf,V2,Verifier,D,TODO,,verification.md,
ED-maf,maf,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-maf,maf,H,Human,"ED,P",TODO,,status ACCEPTED,
S-westminster-chapel-fellowship,westminster-chapel-fellowship,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-westminster-chapel-fellowship,westminster-chapel-fellowship,F,Fetcher,S,TODO,,"raw/,text/",
E-westminster-chapel-fellowship,westminster-chapel-fellowship,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-westminster-chapel-fellowship,westminster-chapel-fellowship,V1,Verifier,E,TODO,,verification.md,
B-westminster-chapel-fellowship,westminster-chapel-fellowship,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-westminster-chapel-fellowship,westminster-chapel-fellowship,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-westminster-chapel-fellowship,westminster-chapel-fellowship,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-westminster-chapel-fellowship,westminster-chapel-fellowship,V2,Verifier,D,TODO,,verification.md,
ED-westminster-chapel-fellowship,westminster-chapel-fellowship,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-westminster-chapel-fellowship,westminster-chapel-fellowship,H,Human,"ED,P",TODO,,status ACCEPTED,
S-evangelical-library-ifes-banner,evangelical-library-ifes-banner,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-evangelical-library-ifes-banner,evangelical-library-ifes-banner,F,Fetcher,S,TODO,,"raw/,text/",
E-evangelical-library-ifes-banner,evangelical-library-ifes-banner,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-evangelical-library-ifes-banner,evangelical-library-ifes-banner,V1,Verifier,E,TODO,,verification.md,
B-evangelical-library-ifes-banner,evangelical-library-ifes-banner,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-evangelical-library-ifes-banner,evangelical-library-ifes-banner,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-evangelical-library-ifes-banner,evangelical-library-ifes-banner,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-evangelical-library-ifes-banner,evangelical-library-ifes-banner,V2,Verifier,D,TODO,,verification.md,
ED-evangelical-library-ifes-banner,evangelical-library-ifes-banner,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-evangelical-library-ifes-banner,evangelical-library-ifes-banner,H,Human,"ED,P",TODO,,status ACCEPTED,
S-london-theological-seminary,london-theological-seminary,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-london-theological-seminary,london-theological-seminary,F,Fetcher,S,TODO,,"raw/,text/",
E-london-theological-seminary,london-theological-seminary,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-london-theological-seminary,london-theological-seminary,V1,Verifier,E,TODO,,verification.md,
B-london-theological-seminary,london-theological-seminary,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-london-theological-seminary,london-theological-seminary,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-london-theological-seminary,london-theological-seminary,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-london-theological-seminary,london-theological-seminary,V2,Verifier,D,TODO,,verification.md,
ED-london-theological-seminary,london-theological-seminary,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-london-theological-seminary,london-theological-seminary,H,Human,"ED,P",TODO,,status ACCEPTED,
S-omf,omf,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-omf,omf,F,Fetcher,S,TODO,,"raw/,text/",
E-omf,omf,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-omf,omf,V1,Verifier,E,TODO,,verification.md,
B-omf,omf,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-omf,omf,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-omf,omf,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-omf,omf,V2,Verifier,D,TODO,,verification.md,
ED-omf,omf,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-omf,omf,H,Human,"ED,P",TODO,,status ACCEPTED,
S-modern-reformed-seminaries,modern-reformed-seminaries,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
E-modern-reformed-seminaries,modern-reformed-seminaries,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
X-001,,X,,All Tier A V1 VERIFIED,TODO,,comparative_tables.md,
X-002,,X,,X-001,TODO,,lineage_chart.md,
X-003,,X,,X-001,TODO,,timeline.md,
X-004,,X,,All Tier A D DONE,TODO,,glossary.md,
X-005,,X,,X-001..X-003,TODO,,introduction_brief.md,
X-006,,X,,X-005,TODO,,Introduction,
P-000,,X,,C-005,TODO,,rights policy,
F-001,,X,,"All ED DONE, all H ACCEPTED",TODO,,manuscript.md,
F-002,,X,,F-001,TODO,,global check report,
F-003,,X,,F-002,TODO,,audit report,
F-004,,X,,F-003,TODO,,final acceptance,
X-007-I,,X,Writer,all chapters of Part I V2 VERIFIED,TODO,,part intro,
X-007-II,,X,Writer,all chapters of Part II V2 VERIFIED,TODO,,part intro,
X-007-III,,X,Writer,all chapters of Part III V2 VERIFIED,TODO,,part intro,
X-007-IV,,X,Writer,all chapters of Part IV V2 VERIFIED,TODO,,part intro,
X-007-V,,X,Writer,all chapters of Part V V2 VERIFIED,TODO,,part intro,
X-007-VI,,X,Writer,all chapters of Part VI V2 VERIFIED,TODO,,part intro,
